date,year,month,total_rainfall_inches,days_with_rain,max_daily_rainfall,max_hourly_rainfall,notable_events,infrastructure_capacity_exceeded,storm_name
2003-11-01,2003,11,2.1,6,0.6,0.4,Dry November,No,
2003-12-01,2003,12,5.4,11,1.9,1.3,Wet December,No,
2004-01-01,2004,1,3.1,8,0.9,0.7,Normal January,No,
2004-02-01,2004,2,2.4,6,0.7,0.5,Normal February,No,
2004-03-01,2004,3,4.2,10,1.3,0.9,Normal March,No,
2004-04-01,2004,4,4.8,11,1.6,1.1,Above normal April,No,
2004-05-01,2004,5,3.9,9,1.2,0.8,Normal May,No,
2004-06-01,2004,6,4.5,10,1.5,1.0,Normal June,No,
2004-07-01,2004,7,5.8,13,2.1,1.4,Wet July,No,
2004-08-01,2004,8,4.3,10,1.4,0.9,Normal August,No,
2004-09-01,2004,9,5.7,12,2.0,1.3,Hurricane Frances impact,No,Hurricane Frances
2004-10-01,2004,10,2.8,7,0.8,0.6,Dry October,No,
2004-11-01,2004,11,3.6,8,1.1,0.8,Normal November,No,
2004-12-01,2004,12,4.2,9,1.3,0.9,Normal December,No,
2005-01-01,2005,1,2.7,7,0.8,0.6,Normal January,No,
2005-02-01,2005,2,2.1,6,0.6,0.4,Normal February,No,
2005-03-01,2005,3,3.9,9,1.2,0.8,Normal March,No,
2005-04-01,2005,4,4.6,11,1.5,1.0,Normal April,No,
2005-05-01,2005,5,3.8,9,1.1,0.8,Normal May,No,
2005-06-01,2005,6,4.7,11,1.6,1.1,Above normal June,No,
2005-07-01,2005,7,5.2,12,1.8,1.2,Above normal July,No,
2005-08-01,2005,8,4.1,10,1.3,0.9,Normal August,No,
2005-09-01,2005,9,3.4,8,1.0,0.7,Normal September,No,
2005-10-01,2005,10,16.73,18,4.2,2.8,Wettest October in history,Yes,
2005-11-01,2005,11,2.9,7,0.8,0.6,Dry November,No,
2005-12-01,2005,12,3.8,9,1.2,0.8,Normal December,No,
2006-01-01,2006,1,3.2,8,1.0,0.7,Normal January,No,
2006-02-01,2006,2,2.8,7,0.8,0.6,Above normal February,No,
2006-03-01,2006,3,4.1,10,1.3,0.9,Normal March,No,
2006-04-01,2006,4,3.7,9,1.1,0.8,Normal April,No,
2006-05-01,2006,5,5.6,12,1.9,1.3,Wet May,No,
2006-06-01,2006,6,6.8,14,2.3,1.5,Very wet June,No,
2006-07-01,2006,7,4.9,11,1.7,1.1,Above normal July,No,
2006-08-01,2006,8,3.6,9,1.1,0.8,Normal August,No,
2006-09-01,2006,9,4.2,10,1.4,0.9,Normal September,No,
2006-10-01,2006,10,8.1,15,2.6,1.8,Very wet October,Yes,
2006-11-01,2006,11,1.7,5,0.5,0.4,Very dry November,No,
2006-12-01,2006,12,8.9,16,2.9,2.0,Heavy snowstorm 26.9 inches,Yes,
2007-01-01,2007,1,2.4,6,0.7,0.5,Normal January,No,
2007-02-01,2007,2,2.6,7,0.8,0.6,Normal February,No,
2007-03-01,2007,3,5.8,13,2.0,1.3,Wet March,No,
2007-04-01,2007,4,13.05,20,3.1,2.1,Wettest April on record,Yes,
2007-05-01,2007,5,3.2,8,1.0,0.7,Normal May,No,
2007-06-01,2007,6,4.6,11,1.5,1.0,Normal June,No,
2007-07-01,2007,7,3.9,9,1.2,0.8,Normal July,No,
2007-08-01,2007,8,4.1,10,1.3,0.9,Normal August,No,
2007-09-01,2007,9,3.8,9,1.2,0.8,Normal September,No,
2007-10-01,2007,10,2.9,7,0.8,0.6,Warmest October tied with 1947,No,
2007-11-01,2007,11,4.2,10,1.4,0.9,Normal November,No,
2007-12-01,2007,12,3.5,8,1.1,0.8,Normal December,No,
2008-01-01,2008,1,3.8,9,1.2,0.8,Normal January,No,
2008-02-01,2008,2,2.3,6,0.7,0.5,Normal February,No,
2008-03-01,2008,3,4.9,11,1.6,1.1,Above normal March,No,
2008-04-01,2008,4,4.3,10,1.4,0.9,Normal April,No,
2008-05-01,2008,5,3.1,8,0.9,0.7,Dry May,No,
2008-06-01,2008,6,5.7,12,1.9,1.3,Wet June,No,
2008-07-01,2008,7,4.8,11,1.6,1.1,Above normal July,No,
2008-08-01,2008,8,6.2,13,2.1,1.4,Wet August,No,
2008-09-01,2008,9,4.5,10,1.5,1.0,Normal September,No,
2008-10-01,2008,10,3.2,8,1.0,0.7,Normal October,No,
2008-11-01,2008,11,2.1,6,0.6,0.4,Dry November,No,
2008-12-01,2008,12,5.4,11,1.8,1.2,Wet December,No,
2009-01-01,2009,1,2.9,7,0.8,0.6,Normal January,No,
2009-02-01,2009,2,2.7,7,0.8,0.6,Normal February,No,
2009-03-01,2009,3,4.1,10,1.3,0.9,Normal March,No,
2009-04-01,2009,4,3.6,9,1.1,0.8,Normal April,No,
2009-05-01,2009,5,4.9,11,1.7,1.1,Above normal May,No,
2009-06-01,2009,6,3.8,9,1.2,0.8,Normal June,No,
2009-07-01,2009,7,5.1,12,1.8,1.2,Above normal July,No,
2009-08-01,2009,8,4.3,10,1.4,0.9,Normal August,No,
2009-09-01,2009,9,4.7,11,1.6,1.1,Above normal September,No,
2009-10-01,2009,10,2.8,7,0.8,0.6,Dry October,No,
2009-11-01,2009,11,3.4,8,1.0,0.7,Normal November,No,
2009-12-01,2009,12,4.6,10,1.5,1.0,Above normal December,No,
2010-01-01,2010,1,3.1,8,0.9,0.7,Normal January,No,
2010-02-01,2010,2,9.2,16,2.8,1.9,Snowiest February in history,Yes,
2010-03-01,2010,3,10.69,16,2.8,1.9,Wettest March on record,Yes,
2010-04-01,2010,4,5.8,12,1.9,1.3,Warmest April surpassing 1941,No,
2010-05-01,2010,5,4.2,10,1.3,0.9,Normal May,No,
2010-06-01,2010,6,4.7,11,1.6,1.1,Above normal June,No,
2010-07-01,2010,7,6.1,13,2.1,1.4,Second warmest July,No,
2010-08-01,2010,8,4.9,11,1.7,1.1,Above normal August,No,
2010-09-01,2010,9,8.7,15,2.7,1.8,Very wet September,Yes,
2010-10-01,2010,10,3.5,8,1.1,0.8,Normal October,No,
2010-11-01,2010,11,2.9,7,0.8,0.6,Dry November,No,
2010-12-01,2010,12,4.8,10,1.6,1.1,Above normal December,No,
2011-01-01,2011,1,8.2,15,2.1,1.4,Second snowiest January,Yes,
2011-02-01,2011,2,3.4,8,1.0,0.7,Normal February,No,
2011-03-01,2011,3,4.6,11,1.5,1.0,Normal March,No,
2011-04-01,2011,4,5.9,12,1.9,1.3,Wet April,No,
2011-05-01,2011,5,7.8,14,2.5,1.7,Very wet May,Yes,
2011-06-01,2011,6,5.3,12,1.8,1.2,Above normal June,No,
2011-07-01,2011,7,8.1,15,2.6,1.8,Very wet July,Yes,
2011-08-01,2011,8,18.95,22,5.4,3.6,Wettest August in history,Yes,Hurricane Irene
2011-09-01,2011,9,4.7,11,1.6,1.1,Above normal September,No,
2011-10-01,2011,10,2.9,7,0.8,0.6,Snowiest October on record,No,
2011-11-01,2011,11,1.2,4,0.4,0.3,Very dry November,No,
2011-12-01,2011,12,5.6,11,1.9,1.3,Wet December,No,
2012-01-01,2012,1,2.8,7,0.8,0.6,Mild January,No,
2012-02-01,2012,2,2.1,6,0.6,0.4,Mild February,No,
2012-03-01,2012,3,1.8,5,0.5,0.4,Very dry March,No,
2012-04-01,2012,4,4.2,10,1.3,0.9,Normal April,No,
2012-05-01,2012,5,3.9,9,1.2,0.8,Normal May,No,
2012-06-01,2012,6,4.8,11,1.6,1.1,Above normal June,No,
2012-07-01,2012,7,5.1,12,1.8,1.2,Above normal July,No,
2012-08-01,2012,8,4.3,10,1.4,0.9,Normal August,No,
2012-09-01,2012,9,3.7,9,1.1,0.8,Normal September,No,
2012-10-01,2012,10,4.8,8,2.1,1.4,Hurricane Sandy month,Yes,Hurricane Sandy
2012-11-01,2012,11,0.9,3,0.4,0.3,Very dry November,No,
2012-12-01,2012,12,3.2,8,0.9,0.7,Normal December,No,
2013-01-01,2013,1,3.7,9,1.2,0.8,Normal January,No,
2013-02-01,2013,2,1.9,5,0.5,0.4,Dry February,No,
2013-03-01,2013,3,2.8,7,0.8,0.6,Dry March,No,
2013-04-01,2013,4,4.1,10,1.3,0.9,Normal April,No,
2013-05-01,2013,5,6.7,13,2.2,1.5,Very wet May,No,
2013-06-01,2013,6,8.9,16,2.7,1.8,Very wet June,Yes,
2013-07-01,2013,7,6.2,13,2.1,1.4,Wet July,No,
2013-08-01,2013,8,3.1,8,0.9,0.7,Dry August,No,
2013-09-01,2013,9,4.4,10,1.5,1.0,Normal September,No,
2013-10-01,2013,10,2.6,7,0.8,0.6,Dry October,No,
2013-11-01,2013,11,2.9,7,0.8,0.6,Normal November,No,
2013-12-01,2013,12,4.8,10,1.6,1.1,Above normal December,No,
2014-01-01,2014,1,3.4,8,1.0,0.7,Normal January,No,
2014-02-01,2014,2,2.5,6,0.7,0.5,Normal February,No,
2014-03-01,2014,3,4.9,11,1.6,1.1,Above normal March,No,
2014-04-01,2014,4,5.6,12,1.9,1.3,Wet April,No,
2014-05-01,2014,5,6.1,13,2.0,1.4,Wet May,No,
2014-06-01,2014,6,4.2,10,1.3,0.9,Normal June,No,
2014-07-01,2014,7,5.8,13,2.0,1.3,Wet July,No,
2014-08-01,2014,8,4.7,11,1.6,1.1,Above normal August,No,
2014-09-01,2014,9,3.9,9,1.2,0.8,Normal September,No,
2014-10-01,2014,10,2.1,6,0.6,0.4,Dry October,No,
2014-11-01,2014,11,2.8,7,0.8,0.6,Normal November,No,
2014-12-01,2014,12,4.6,10,1.5,1.0,Above normal December,No,
2015-01-01,2015,1,2.3,6,0.7,0.5,Normal January,No,
2015-02-01,2015,2,1.6,5,0.5,0.4,Dry February,No,
2015-03-01,2015,3,3.8,9,1.2,0.8,Normal March,No,
2015-04-01,2015,4,4.7,11,1.6,1.1,Above normal April,No,
2015-05-01,2015,5,2.9,7,0.8,0.6,Dry May,No,
2015-06-01,2015,6,4.1,10,1.3,0.9,Normal June,No,
2015-07-01,2015,7,5.9,13,2.0,1.3,Wet July,No,
2015-08-01,2015,8,4.8,11,1.6,1.1,Above normal August,No,
2015-09-01,2015,9,3.4,8,1.0,0.7,Normal September,No,
2015-10-01,2015,10,4.3,10,1.4,0.9,Normal October,No,
2015-11-01,2015,11,3.7,9,1.1,0.8,Normal November,No,
2015-12-01,2015,12,5.2,11,1.8,1.2,Above normal December,No,
2016-01-01,2016,1,2.8,7,0.8,0.6,Normal January,No,
2016-02-01,2016,2,2.1,6,0.6,0.4,Normal February,No,
2016-03-01,2016,3,3.5,9,1.1,0.8,Normal March,No,
2016-04-01,2016,4,4.9,11,1.7,1.1,Above normal April,No,
2016-05-01,2016,5,5.6,12,1.9,1.3,Wet May,No,
2016-06-01,2016,6,3.8,9,1.2,0.8,Normal June,No,
2016-07-01,2016,7,4.3,10,1.4,0.9,Normal July,No,
2016-08-01,2016,8,6.5,14,2.2,1.5,Wet August,No,
2016-09-01,2016,9,5.7,12,1.9,1.3,Wet September,No,
2016-10-01,2016,10,8.2,15,2.6,1.8,Very wet October,Yes,
2016-11-01,2016,11,1.9,5,0.5,0.4,Dry November,No,
2016-12-01,2016,12,4.1,9,1.3,0.9,Normal December,No,
2017-01-01,2017,1,3.2,8,1.0,0.7,Normal January,No,
2017-02-01,2017,2,2.4,6,0.7,0.5,Normal February,No,
2017-03-01,2017,3,4.8,11,1.6,1.1,Above normal March,No,
2017-04-01,2017,4,3.9,9,1.2,0.8,Normal April,No,
2017-05-01,2017,5,5.1,12,1.8,1.2,Above normal May,No,
2017-06-01,2017,6,4.2,10,1.3,0.9,Normal June,No,
2017-07-01,2017,7,5.6,13,1.9,1.3,Wet July,No,
2017-08-01,2017,8,4.7,11,1.6,1.1,Above normal August,No,
2017-09-01,2017,9,3.8,9,1.2,0.8,Normal September,No,
2017-10-01,2017,10,2.9,7,0.8,0.6,Dry October,No,
2017-11-01,2017,11,3.4,8,1.0,0.7,Normal November,No,
2017-12-01,2017,12,4.5,10,1.5,1.0,Above normal December,No,
2018-01-01,2018,1,2.7,7,0.8,0.6,Normal January,No,
2018-02-01,2018,2,2.8,7,0.8,0.6,Above normal February,No,
2018-03-01,2018,3,3.6,9,1.1,0.8,Normal March,No,
2018-04-01,2018,4,4.3,10,1.4,0.9,Normal April,No,
2018-05-01,2018,5,6.9,14,2.3,1.6,Very wet May,No,
2018-06-01,2018,6,5.2,12,1.8,1.2,Above normal June,No,
2018-07-01,2018,7,7.8,15,2.6,1.8,Very wet July,Yes,
2018-08-01,2018,8,9.1,17,3.0,2.0,Extremely wet August,Yes,
2018-09-01,2018,9,4.6,11,1.5,1.0,Above normal September,No,
2018-10-01,2018,10,2.3,6,0.7,0.5,Dry October,No,
2018-11-01,2018,11,8.5,16,2.7,1.8,Very wet November,Yes,
2018-12-01,2018,12,4.1,9,1.3,0.9,Normal December,No,
2019-01-01,2019,1,3.5,8,1.1,0.8,Normal January,No,
2019-02-01,2019,2,2.2,6,0.7,0.5,Normal February,No,
2019-03-01,2019,3,4.7,11,1.6,1.1,Above normal March,No,
2019-04-01,2019,4,3.8,9,1.2,0.8,Normal April,No,
2019-05-01,2019,5,5.4,12,1.8,1.2,Above normal May,No,
2019-06-01,2019,6,7.2,14,2.4,1.6,Very wet June,Yes,
2019-07-01,2019,7,6.3,13,2.1,1.4,Wet July,No,
2019-08-01,2019,8,4.9,11,1.7,1.1,Above normal August,No,
2019-09-01,2019,9,3.2,8,1.0,0.7,Normal September,No,
2019-10-01,2019,10,8.4,15,2.7,1.8,Very wet October,Yes,
2019-11-01,2019,11,4.8,11,1.6,1.1,Above normal November,No,
2019-12-01,2019,12,5.1,11,1.8,1.2,Above normal December,No,
2020-01-01,2020,1,4.2,10,1.3,0.9,Above normal January,No,
2020-02-01,2020,2,3.8,9,1.2,0.8,Above normal February,No,
2020-03-01,2020,3,4.1,10,1.3,0.9,Normal March,No,
2020-04-01,2020,4,6.7,13,2.2,1.5,Very wet April,No,
2020-05-01,2020,5,2.8,7,0.8,0.6,Dry May,No,
2020-06-01,2020,6,4.5,10,1.5,1.0,Normal June,No,
2020-07-01,2020,7,5.9,13,2.0,1.3,Wet July,No,
2020-08-01,2020,8,9.6,17,3.1,2.1,Extremely wet August,Yes,Hurricane Isaias
2020-09-01,2020,9,4.3,10,1.4,0.9,Normal September,No,
2020-10-01,2020,10,3.7,9,1.1,0.8,Normal October,No,
2020-11-01,2020,11,2.4,6,0.7,0.5,Dry November,No,
2020-12-01,2020,12,7.8,15,2.6,1.8,Very wet December,Yes,
2021-01-01,2021,1,2.9,7,0.8,0.6,Normal January,No,
2021-02-01,2021,2,2.1,6,0.6,0.4,Normal February,No,
2021-03-01,2021,3,5.3,12,1.8,1.2,Above normal March,No,
2021-04-01,2021,4,3.6,9,1.1,0.8,Normal April,No,
2021-05-01,2021,5,4.8,11,1.6,1.1,Above normal May,No,
2021-06-01,2021,6,5.7,12,1.9,1.3,Wet June,No,
2021-07-01,2021,7,6.4,14,2.2,1.5,Very wet July,No,
2021-08-01,2021,8,5.2,12,1.8,1.2,Above normal August,No,
2021-09-01,2021,9,7.13,4,3.15,3.15,Hurricane Ida - record hourly,Yes,Hurricane Ida
2021-10-01,2021,10,3.8,9,1.2,0.8,Normal October,No,
2021-11-01,2021,11,4.9,11,1.7,1.1,Above normal November,No,
2021-12-01,2021,12,5.6,12,1.9,1.3,Wet December,No,
2022-01-01,2022,1,3.4,8,1.0,0.7,Normal January,No,
2022-02-01,2022,2,2.6,7,0.8,0.6,Normal February,No,
2022-03-01,2022,3,4.5,10,1.5,1.0,Normal March,No,
2022-04-01,2022,4,4.2,10,1.3,0.9,Normal April,No,
2022-05-01,2022,5,6.8,14,2.3,1.6,Very wet May,No,
2022-06-01,2022,6,4.1,10,1.3,0.9,Normal June,No,
2022-07-01,2022,7,5.7,13,1.9,1.3,Wet July,No,
2022-08-01,2022,8,4.9,11,1.7,1.1,Above normal August,No,
2022-09-01,2022,9,3.5,8,1.1,0.8,Normal September,No,
2022-10-01,2022,10,7.6,14,2.5,1.7,Very wet October,Yes,
2022-11-01,2022,11,3.2,8,1.0,0.7,Normal November,No,
2022-12-01,2022,12,4.8,10,1.6,1.1,Above normal December,No,
2023-01-01,2023,1,3.1,8,0.9,0.7,Normal January,No,
2023-02-01,2023,2,2.8,7,0.8,0.6,Above normal February,No,
2023-03-01,2023,3,4.3,10,1.4,0.9,Normal March,No,
2023-04-01,2023,4,5.9,12,1.9,1.3,Wet April,No,
2023-05-01,2023,5,3.7,9,1.1,0.8,Normal May,No,
2023-06-01,2023,6,4.6,11,1.5,1.0,Above normal June,No,
2023-07-01,2023,7,8.2,15,2.7,1.8,Very wet July,Yes,
2023-08-01,2023,8,5.3,12,1.8,1.2,Above normal August,No,
2023-09-01,2023,9,7.2,3,2.5,2.5,Severe flooding event,Yes,
2023-10-01,2023,10,3.9,9,1.2,0.8,Normal October,No,
2023-11-01,2023,11,2.7,7,0.8,0.6,Normal November,No,
2023-12-01,2023,12,4.4,10,1.5,1.0,Normal December,No,
2024-01-01,2024,1,3.8,9,1.1,0.8,Normal winter,No,
2024-02-01,2024,2,2.5,7,0.7,0.5,Typical February,No,
2024-03-01,2024,3,4.2,10,1.3,0.9,Normal March,No,
2024-04-01,2024,4,4.1,11,1.4,0.9,Typical April,No,
2024-05-01,2024,5,4.6,12,1.7,1.1,Above normal May,No,
2024-06-01,2024,6,3.9,9,1.2,0.8,Normal June,No,
2024-07-01,2024,7,4.8,11,1.8,1.2,Above normal July,No,
2024-08-01,2024,8,5.1,13,2.0,1.3,Wet August,No,
2024-09-01,2024,9,4.3,10,1.5,1.0,Normal September,No,
2024-10-01,2024,10,3.7,8,1.0,0.7,Normal October,No,
2024-11-01,2024,11,4.0,9,1.2,0.8,Normal November,No,
2024-12-01,2024,12,3.2,8,0.9,0.6,Normal December,No,
